Text,Actual HS,Predicted HS
sabarlahkerajaan laksana sat persatutakkan kawin ni besok cicitcontoh jaya ketaraselain turun harga tomato raja jaya turun nilai ringgit pelabur asi,0,0
iya kampret engga agama indo hancur masuk lu hancur,1,1
kalo otak ya pake mbak tolol,1,1
gak makan coklat anjing mencret gitu untung gapapa,0,0
kaum homo lesbian banci bela nama ham orang wanita pakai cadar cerca nama,1,1
ewe ewi panggil sayang,0,0
ijinkan ketawa hahahaha bongbongpinter dikit napadungu piara,1,1
kau bangsad,0,1
nete elu,0,0
kawan kpk wantiwanti hatihati jebak betmen bandara kertajati anasir bentuk kuasa jerat gubernur aher waspada,0,0
desa udik definisi universal buah aglomerasi mukim area desa rural indonesia,0,0
abg toge desah ngentot diatasnnvideobokep full gt,0,0
zaman orang aman orang buta huruf budek ndeso sing gak eruh,0,0
pikir kuasa ngga peduli rakyat kayak,1,1
kalimat kamu jangan bacot doang buktiin tapi kalimat ini maaf engga kasih solusi apa apa butuh,0,1
kayak tau ya kak ya kak ga asing gitu,0,0
kne jaga hati pimpin kafir harbi kau ka,0,1
imajinasi gue titit palanye yg bekas jaitan gak rapi yg bekas luka jepit resleting yg bengkok nmereka gemas,0,0
gara gara editing kejam knet gak kenal gak voting yg oke yg gak kasi,0,0
cocot kaunncangkemu cuk,1,1
video ahok hina agama kristen agama konyol ahokpecahbelahbangsa,1,1
blh jg tuh bntu sundul,0,0
syiah musuh yahudi didekatinpolitics,0,0
la cina ni tu kereta,0,0
koordinasi kuat massa muslimutk kepung duta myanmarusir dubes orang budha biadab indonesia,1,1
dek ak cinta ak cinta allah iyamas ak jua ap ak wes hijrah rajin ngibadah wes pinter ngaji wes m,0,0
kalo mw poros alternatif bs duet tgbahy ahytgb ahy dri militer amp urus diplomasi negeri wakil indonesia barat tgb ulama yg beril kembang ekonomi sosial da,0,0
lihat salah dukung mafia koruptor nista agama gerombol banci titot laku bidik arah,1,1
tangan spontan angkat goreng bawa lihat sosok hadap angkat buah tongkat rapunzel maksud siagannaku rapunzel tolong apannsikap waspada orang asing menu,0,0
nurul arifin goyah hadap survei bandunggeulis bandungharmonis bandungvotenuruli calonwalikotabandung,0,0
ngeles om anies sandi,1,1
neh langsung deh dimanfaatin pencitraaan,0,0
neh nyerang semalem ended up ngeblok cupu kicep ew,1,1
hahaha banci kaleng langsung nyungsep pakai akun palsu ga banci ya saracen waspada waspada,1,1
bembem kampret ngakak sampe besok,0,0
tiket ka kelas ekonomi ludes jual,0,0
eh haha iya dp hyunjin anjir gin nih kao males nge zoom haha,0,0
heh jijik langsung unfriend lo tau,1,0
lu adek cowo bocah udah sunat ngomong nkok titit kaya gin titit abang kaya gitu bentukny beda anying wkwkwkwk,0,0
jadi wowo presiden tv one undang slalu pentol kampret gembel warnet hahaa,1,0
gereja suku tata ibadah nyanyi pakai sesuai gereja lokalnnorang katolik suda tida dominan pake latin,0,0
bangkai wkwks tuh kayak abis putus trs tuh yg mandiin kucing eeeeeee,0,0
screenshot udh lupa kuposting yg ketawa ga siri budek dengernya bunggus,0,0
alhamdulillah taun indonesia merdeka urang jabar gaduh bandara internasional hatur nuhun presiden sing dipasihan sehat sinareng kakiatan kangge janten pimpin mugi dikobul ku alloh amin yra,0,0
status kafir relatif gantung tinjau sudut yg santai,0,0
jkw orang kafir,0,1
bocah pake baju item bangsad,1,1
tradisi katolik raya ekaristi misa nuansa daerah nama misa inkulturasim imlek misa inkulturasi tionghoa,0,0
bajing hadap utama kamar mandi jgn biar,1,0
kasi terbatabata bicara lupa bawa teks ga da mmperhatikannya hormat sukses anies,0,1
ayo pilih alin aja alin tuh bawel banget diomongin ngeliat banci jalan aja omongin,0,0
admin belanja poterbaik nak makan ais kepal milo ais kepal horlicks cendol toping kaw kaw doket mano tu gerai rojak mertua taipan twins baby amp romantika bank islam senawang,0,0
even muka bersih mulus cacat ttp mesti rawat darling lo ga forever nambah umur kulit nambah tua polusi,0,1
pilih d gak nista agama teman koruptor korup,0,1
simak beritaberita ekonomi bisnis uang perban aktual,0,0
bajing la banjingan,0,0
sedih ik mba cit bani gmn ya beliau ngasi target nem taun,0,0
pikir indra j piliang jokowi nyata udah belok tim sukses aniessandi pantesan dihabisin,1,1
nama kapitalis emang kejam sih konteks mending beli lusin sejahtera rakyat gua lu inget ga gua haha,0,0
bodoh budak islam muhammad mati racun badan bau,1,1
harga yahudi,0,0
dm kaya verif kunyuk hai hai aja,0,0
partai aceh target kursi parlemen menang pilkada,0,0
si kutil babi leceh pribumi umat islam iklanahokjahat,1,1
jk yg kluar cocoklogi yg paksa utk kalimat yg kentara hina kitab suci agama ak,0,0
gak nyabu ya,1,0
iki apik biyat senng nyawang poto iki presiden jancuk moga samping kenan wakil presiden minimal nasihat presiden jancukers heuheuheu,1,0
shia kafir,1,0
tai kucing lo ahh kecut,1,1
lengser jokowi krn langgar perundangundangantapi becus kelola negara,1,1
yah dah bobo si mark trus knp cher anjir lo najis,1,1
eehmjustru kristen katolik kristen protestan udah bumi nusantara duluan ibadah kitab lagu udah gaya jawa batak flores toraja ds,0,0
men sip uhuwww ga mw brojol iya moga langgeng jgn kaya bom bom car moga panutan q yg baiq dah gubya mwaaaa,0,0
kalo badan ue lu ngga denger tulang bunyi mata lelah liatin layar mele tangan capek ngetik mele heh budek denger bego maafin,1,1
monyet anjing kayak tuyul kepala kroak kayak groot kayak serigala muka mata imajinasi,0,1
segi pandang agama anggap agama irrational ga nyata krn irrational dgn dr segi irrasionalitas yahudi kristen islam hindu animisme,0,0
niikmat banget duo cogant abizz ngentot,0,0
sejuk gila dlm ofis kulit buaya,0,0
zaman munafik bekerjasama dg kafir utk runtuh islam,0,1
salute to the master dewan yg kapasitas menang uang koneksi milik uang kapasitas mantab stp bicara kaji,0,0
sinyal kartu three cacad ganti pake kartu gapleh aja gitu ya,0,0
umat mending jd kristen deh kl klaim umat yg ngikut pks rijik,0,0
bisu terpa dalamnlembaran mimpinaku sentak dentingnwaktu memanggilkunaku bangun gelisah hatikunresah,0,0
udah hina ngga malu fasilitas perintah bikin bani daster ngga tau malu ngga harga makan gaji dr negara hina haram,1,1
orang saksi anjing babi tolol,1,1
giat kanit binmas polsek singojuruh rangka cipta kondisi aman kondusif jelang pilkadaklik,0,0
kerja campur aduk kembang ilmu kerja butuh kenal warna contoh bidang seni rupa larang buta warna,0,0
gw ekspresi dmnnpresiden ngga milih tuhnya klo nyadar haters tau edan sibuk nipu rakyat,1,0
tuakberarti brengsek,1,1
kabeh dulur kabeh makmur gusipulmbakputi gusipulputimenang,0,0
knl pon still x berani nk ckp i love you walaupon dah suka hmm knl tu pon kat wechat dah blh ajak tido angkat woww budaya kotor zaman ni jijik bodo,0,0
gue enek elo urus orang lo tau dasar kepo cewek alay,1,0
mulia bpk anggur bpk bgtu perhatianbanget rakyat rakyat china nyalon pilpres aja pilih,1,1
cebong dongok sensi mas,1,1
halo amel baca sampe sipit hakdhsk,0,0
besok prabowo nyapres teriakteriak timpang percaya aja ngatain wartawan gaji,1,1
kepala seksi lindung daya padang valerie chistie faisal s pd memdampingi tki purna bina padang survei laku tim nilai badan ekonomi kreatif indonesia,0,0
info aja sih program bantu perintah guru agama hindu cek,0,0
bandung bebas banjir nurul arifin nyata solusi danau bandunggeulis bandungharmonis bandungvotenuruli calonwalikotabandung,0,0
profesi cocok ayamnnpecun,0,0
eh tau proyek nya cina garap putra putri indonesia gak,1,1
ganyang pki peramg buka generasi pki dg ummat islam,1,1
agus silvy tukang fitnah debatfinalpilkadajkt,1,1
gue emang bego sayang orang jelasjelas ga sayang ga mikirin asa gue,0,0
kali nolak lemari nyari benang rajutnsetelah ngerajut henti sampe sekarangnentah udah tas pouch clutch taplak guru amp diajarin,0,0
ha ha baca biar pintar jepang amerika china utang tau,0,1
congor lo ya tolong,1,1
banci kampung heeee,1,1
pilih jokowi,0,1
cebong dungu marah marah ajar nabi nya rendah hati dgn agama dgn umat paulus rajin ngaji kitab kuning,1,1
agen harga tiket bus po ramayana,0,0
presiden jarang afrika kecuali ktt pemimpinpemimpin afrika indonesia hadir ktt indonesia indonesiaafrika,0,0
kau suka anjing,0,0
si kutil babi leceh pribumi umat islam iklanahokjahat,1,1
kalah lu mampus,1,1
hahahahananak monyet ngerto dongonbaca dt efilnikcufecinnketurunan monyet,1,0
ra asing karo kui yo,0,0
kpk henti bagus dpr bubar bos,1,1
adopsi cerdas potensi ekonomi digital capai triliun dollar as,0,0
ngakakngatain noob wkwk eh btw lu out ena bang,0,0
ganti sahabat patrick suka idiot hilang nnspongebob,0,0
asisten gubernur kepala departemen bijak ekonomi moneter bi dody budi waluyo,0,0
utang trilyun kampret hidup melarat makan kalo cebong udah happy hidup gak akting sengsara gitu,1,1
udah sange gin enak maininnyannkita cewe jijiknnjangan jijiknnkan cipok enak grepe,0,0
adminnya tolol,1,1
turun jokowi rezim korban ahok,1,1
woii uda malam jumat bom diem diem bae ngentot oii ngentott,0,0
ya fakta pki,1,0
jil jin slamet nusantara agenda tokoh nu struktural sdh,0,0
arti tunggu menit ya ga berat lo bencong gembel warnet hahahah,1,0
udah kudugaselama kunyuk kunyuk kolojengking durung modar yo ancen ngene ikigusti allah mboten sare melek karo hukum biadab kalah karo asu,1,1
corong congor cebong nbiadab,1,1
wkt sby naikin bbmpada demo tuh makhluktp skrg demo ya pake jargon licik gak danain ya gada,1,1
ntu ntidak kudu keras lawan dgn keras kung fu kadang pake tai chi lembut dgn kuat lawan,0,1
nyata fitnah kena asah tajam realitinya pantai timur je kuat negeri agama prioriti isu kos sara hidup ekonomi pon orang ambik kat pantai timur xpe laa kerja dok banyok pon,0,0
hafal urus gaya rambut atur alkitab pl grup kristen edar gambar larang gaya rambut islam,0,0
si dakwa nista agama alias si ahok babi jamban tuh morfotin uang rakyat jakarta,1,1
allah swt psikopat harap teror horor brussels gila lukman,1,1
negeri jamrud katulistiwa bingung kali ya kerjasama komunis liberalis salam sehat,0,0
meme nak cilok indo dasar malingsia brengsek,1,1
bijak barang kpd konsumen yg laku barang rusak cacat produksi konsumen puas dgn produk hitung tanggal pembeliannhauzminiquiz hauzid,0,0
syak jerawat ni spesis fans chelsea suka tumbuh hidung ala ala gua gitu nndah move on lu jerawat tumbuh aja ya serah hidung ya setan budek,0,0
bubar dpr gak butuh,1,1
rezim asai antiislam,1,0
gambar monyet ya,0,0
hadir lokakarya budaya daerah bupati rupinus ajak masyarakat sekadau rawat manfaat objek budaya,0,0
klu kpk bubar rakyat wajibkudu bubar wakil rakyatdpr,1,1
kontras radikal intoleran,1,0
bank bumn pinjam uang china publik perintah pinjam bangun infrastruktur nyata fasilitas china kuasa newmont kongkalik,0,0
alquran sunah merintahkan rang kafir akibat pecah belah bangsa,1,1
terimakasih presiden jokowi kerja biasasemoga listrik yg pulau nias mw kwdapat manfaat tingkat ekonomi masyrakat nias suara pulau utk jokowi slaam periode g,0,0
biar allah turun balas orangorang partai dukung jokowi suka zalim orang salah,1,1
kasihan orang sebentar masuk rsjbisa anggap ahok cinta rakyatrakyat cinta mulut jambannbuang sampah tempatnyaandai berani jujursudah masuk,1,1
rumah presiden istana bnyak calon kuasa dgn dgn korban rakyat negara yg atur hidup negara ganti istana rumah rakyat,0,0
resiko kena pneumonia akibat vape daulat rakyat budaya teliti berita,0,0
wew jilat hina habib gimana loe syafaat bonggg cucu baginda nabi loe hinahina,1,1
babi haram babu halal ulah muhammad bejad catut nama tuhan,1,1
nih ya jelasin nncowo burung gaada cewe cewenya nnsiapa transgender indonesia nyanyi,1,0
emang team gak pake usaha produce orang sampe titik team emang perform lancar cacat tp liat darimanapun team bagus pantes men,0,0
tgb cipta perintah bersih kamimautgbdrmzainulmajdi,0,0
i tulis kad raya cina tu ellooo,1,0
otw bom korut u,0,0
nama cari nafkah bangsad,1,1
jual bumn migas energi utk brli gak bang kalo jual cebong aja cebong indonesia,1,1
dunia maya seseorg nilai dr tulis tulis alay mk alaylah orgnya tulis formal mk formal orgnya,0,0
ohh brarti lu kemaren lupa sarap mangkanya sarap,0,1
orang klu kafir krn hasil krn tuduh orang klu kafir krn kmu laku kafir kasih tau umat klu yg kmu laku kafir umat yg,0,0
bawa bom ngaku ngetes pol kali ya pakhehe kabar pa ronald,0,0
menteri jokowi non partisan harga dunia smi sus men pupr parpol duduk manis presiden jokowi menteri utk gentar dunia,0,0
ga rela kunyuk bahagia pagi,0,0
jual gua kaya jablay,0,0
otoriter otoriter pimpin korut tidur udah hukum mati kim jong un,1,1
baca cerdas biar gak cap goblok vnnjust kiddingnnb orang iq ratarata erti tulis v,0,0
setujubahagiasenangbila mprdpr bubar gaji negara korupsi rugi,1,1
jokowi antek zionis ato komunis ato paranoid islam,1,1
banteng ngeri bungsarangnya komunis,1,0
sahabat bangsad,1,1
diam kau kampang sakit kepala,1,1
tante vero kejo hoaks tuhkampret lu ya,1,1
daddy jahanammmmm sanga kutuk kooo,1,0
kampret mencret kau salah perintah neeekkk,1,1
bajak bacot elu babi mending gelut,1,1
apankah ganti kafir syiah jil komunis,0,1
even mama ngelarang takut nggak jaga but ive told him that i will do the exact thing that my parents do if you dont just for,0,0
ya kali ketemu bobotoh viking kaos the jak mikir,1,0
rezim tukang klaimdisebarkan media buzzer olah olah kerja jkwpd tanda tangan,1,1
peluang tokoh ubah lukman hidup allah swt sesat,1,1
lsm gerak tolak berita hoax sukses pilkada wilayah kota,0,0
manggil gua bodohienw oojinprk manggil gua bodohnparjin manggil gua autis gua,0,0
dear gubernur wagub gak opa wenger utk latih pasca beliau out dr arsenal,0,0
mari awas keliling masingmasing jelang aktifitas antek komunis lapor ulama tni ganyang pki,1,1
laku homok jaman now ngentot aja live blued gayvid gvid lokalhangat,0,0
min orang kerja kantor pajak iya malu kapolri,1,0
situ tanda kedongoan lu ngurusi usaha pribadi aja ga becus gimana ngurusi negara btw pajak udah bayar blum wkwkwkwk kampret dongo,1,1
suka lihat agama politik racist negeri ni,0,0
mending makan murah buangbuang duit lo ntar tainnatau gak si a beli barang murah si b komen ih lo beli situ sih murah bahan gak bagusnnlalu si b gak langsung gak udah nyakitin hati si a,0,1
pegawai guardian training kek kek gembel cuman kaos flat shoes nanya dijutekin bangsad emang males beli kabur matahari,1,1
mah ndut kurus eue tapiiii uit mah senang aja ga tinggal nyoh nyoh,0,0
kuda kek onta wkwkwkwk,0,0
dicapreskan kalang asengasing media dukung tolak khawatir jahat main kotor negeri diberangusss reklamasi jakarta,1,1
keliru nyebut manusia tuhan tuhan layan pamer kuasa spt ajar quran,1,0
gue bom otak tai gatau msh byk yg dek dekan blm nem elah wjdjiqksks,0,0
orang orang kayak gini nih pantes mati gedek banget liatnya gue sumpahin cepet kena azab,1,0
sumber daya negara rakyat yg susah komplain lindung,0,0
bodo ngambek,0,0
puisi karya gus mus indah teduh fitnah nderekgusmus,0,0
bgst aja ngomongin titit,0,0
usul bagus tampa lengser blegitu,1,1
cinta yg sejati buta keliling eikichi gto,0,0
hrs cebong kalut kalo deket,0,1
sembahyang adopsi tradisi lokal kerja lahir tradisi tunggal sembah all,0,0
ribut komunis blabla emoh baca baca kalo niat agitasi nyerang perintah pake cari simpatisan,1,1
brengsek nih auto correct gwa sadar,0,0
udah sok tau trus komentar sok pinter hhmmmm ken gue gampar bibir pake wedges bencong,0,0
cebong maennya gak dr kolam pakmakanya gak tauudah jgn tanggepinntar cebong laen pd nongol dr dasar kolam butek,1,1
gila coba faedah ngeroyok orang gara gara bikin meme bahan meme ga hubung ama ngeroyok nnboro boro anggota keluarga kenal aja kagak lo kntl bgst gobloooooooo,1,1
profesor menang debat pilkada jatim,0,0
woo kapir kapir kalo nyebut kapir hina ya hahahah saking kerdil otak lo lo ngatain islam gak ngatain agama spesifik dasar kaum intoleran sara lo munafik kapir goblok ganti aja to,1,1
ehh anak anjing ahok kelan blon siuman mending bool basuki aja kasih tau babi bool basuki wangi gitu,1,1
pimpin jokowi ormas akur rakyat hujat nista agama sosmed,1,1
buanyak buaya,0,0
asu asu asuuuu si kuyaaaaaaaaaaaaa,1,1
bilang ga tp lo baca lo bilang seru halah sender kampang,1,1
smoga sajahistorinya bknnya inggris yg hadiah yahudi sisa wil israel skrg,0,0
bengkal tuan rumah pios mahasiswa kampus islam riaukepri,0,0
dorong klarifikasi nabi islam,1,1
kalo ketawa sipit,0,0
jokowi pilih lantik presiden ri oktober,0,0
zon zon cocot miring,1,0
pki kali nyusup acara ente min massa teriak ganyang pki,1,1
silit bau jigong,0,0
wkwkwk admin tolol kuadrat,1,1
pilkada sejuk elit pancing gaduh presiden simbol utama negara perilaku menentramkan,0,0
bantu deh cari sendirinnislam qurban sapi kambing onta nninus qurban ayam burungnnnah lho inussedangkan burung lu aja,0,0
cebong boros bacot hemat pake otak,1,1
heran dukung jokowi polemik film aneh lari jalan mundur,1,1
udah bingung kalik pakai kampanye bikin fitnah kayak depresi ya takut kalah iklanahokjahat,1,1
jd simpul lu bego v,1,1
ga sok ngomong ekonomi dah kl bos aja nunggak gaji karyawan ngangkut kader acara ga bayar carter angkot si bayar listrik nunggak resin ekonomi ekonom,0,0
wooyyy njing lacur ya pantesan laku lu bejad dasar anak haram ckakakakak d,1,1
ni bberapa fitnah kpada njokowi pki jokowi tionghua jokowi antek asingn jokowi pencitraan semua fitnah hembus dri alhamdulillah hadap dg sabar,0,1
ijin sekolah swasta dedi purwakartanuntuk yayasan kristen khususnyannkan hak rakyat agama apapunnnsalam damainnems,0,0
mundur krn gk becus urus negeri,1,1
harap gubernur sutarmidji ambil tindak mmg jaman cornelis bantu rezim lihat mudah cina masuk sektor masuk tambang salah ketapang,0,0
mk sejarah gereja at menteri agama ri sekolah agama kristen negeri stakn manado,0,0
nambah nihmega collection yg minatmonggo d dm,0,0
ahok si kutil babi rumah lembang jakarta banjir bud,1,1
antek komunis film isi bohong,1,1
jaman mas jajah merdeka kerjasama asing korea utara twitteran pakai produk asing jangan tanggung anti asing,1,0
bunuh karakter mayjen kivlan zein rezim antek komunis wakil ftho,1,1
buya yahya salah ulama nu lurus tukar agama uang pangkat duduk suara buya yahya suara,0,0
sebenernya cacat anak anak kaya ngasih tau kondisi biar tau reaksi orang tua,0,0
guru privat jakut tk sd smp sma un simak ui sbmptn matematika fisika kimia biologi akuntansi ekonomi,0,0
ateis percaya surga neraka anget,0,0
kondisi mencret minum susu kental manis kadar gula kondisi faktor intoleransi individu hadap susu sapi,0,0
salah bangsat kecut indonesianyang dukung bangsat kecut bani onta groupnya kabur arab sononingattuhan tidur spt hadap ahok pal,1,1
bong cebong pinter hadehhh,1,1
sinden banci kocak princes aprilia amp mimin onggo inggi,0,0
sabtu pagi masyarakat adat baduy jalan tuju kantor gubernur banten kawasan pusat perintah provinsi banten curug kota serang dw,0,0
dekalarasi pilkada aman anti hoax warga dukuh sari jabon,0,0
mundur jokowi,1,1
sumpah nyesek anjirr kayak gue goblog banget percaya cihhh,0,0
selamat sore tweeps presiden jokowi pimpin rapat batas ratas istana presiden bogor rabu bahas kena cepat laksana usaha online single submissionoss poin arah simak ya,0,0
pilkada ntt,0,0
matanajwadebatjakarta anies tinggal tenang tulus debat malam mjd agitatif licik moga kalah kau anjing,1,1
maksud didik batas helen keller wanita bisu tuli buta gelar sarjana amp prestasi steven hawking kembang ilmu lumpuh,0,0
sipit sipit ntar bantet kayak seungmin,1,0
ajar bahasa asing,0,0
ajar sumber kitab weda beda tafsir dasar percaya percaya brahman atman karma reinkarnasi moksa nkl ritual raya sembahyang kebany,0,0
kayak komunis aja ga harga jasat manusiacebongkomunis,1,1
buku lawasgt peran agama moral bangun masjarakat ekonomi indonesia sjafruddin prawinegara th halhrg minat,0,0
gubernur uing yeeeuh,0,0
panglima santri hormat ulama cakiminthenextwapres,0,0
klo taplak meja warna merah putih gk ditaroin asbak rokok ya,0,0
ketua dpr dorong inspirasi kreatif perintah sesuai budaya pancasila,0,0
mantap dm banser bang,0,1
taik kucirap,0,0
jualab kaos nggk laku isu pki duhh gimana maju,0,0
ngakak anjir,0,0
yg bloon yg gak peka amsyong inner left right join otak cenut cenut bom yg sebentar ledak tolong tolong gak kuat suka ngecodein gak dicodein pstmt param println rs,0,0
aish sipit nmami main raket ama jin oppak,0,0
maju ulama gerak tokoh agama indonesia nderekgusmus,0,0
we pipis onta cecer mari pantes bau pesing,0,0
presiden jokowi sorot iklan asi games media massa minim,0,0
kontolkirimin,0,0
ya kalo jongos nya sipit,1,0
asik ya gitu budaya barat jaman romawi suka ketuker critical amp cultural studies pusing,0,0
hakim bubar kpk,1,1
bangkai kapal kog ganggu ekosistim sampah utk biota laut ikan ilmu ya,0,0
kadang hidup emang kayak tai kadang berak orang elo resin tainya tangan lo,0,1
jilat pantat aseng,1,1
presiden keluh minim publikasi asi games xviii,0,0
survey lkpi pilkada tapanuli utara tahana sulit kalah warta ekonomi,0,0
harga minyak picu kuat wall street warta ekonomi,0,0
gembel sok elit longewe sari ayu halo mas ma kelas kambing main main tuh hotel jayakarta tematik clasic malio sumo samping udah tutup alexis ah main cebong kelas kambing cc,1,1
keren presiden ayo tular internet positif marah postingan,0,0
gw hrs nulis jaemin x gladys adhkslapwje bener bener udah sinting,0,0
alami kendala atur kuchat,0,0
indonesia mundur krn jokowi n tdk kelolah issue,1,1
diktator jokowi serius dpr bersih korupsi,1,1
prestasi tingkat yunior aja heboh biasankalian lupa kristen yg juara dunia legenda kayak elly picalnico thomas chris johnnnshaloom,0,0
katolik nusantara nahahahahhahanpandai ya pecah belah agama,1,0
engga salah jalur hukum untung tai manusia gak ngomong coba ngomong tai yg nuntut,0,0
jd ketua golkar setya novanto sdh pecat krn bikin malu partai,1,1
gaib ya tlp kantor cewe orang cina logat bahasa inggris aneh terima tlp teriak ieu maha,0,0
muncul hukumhukum cermin uu cedera supremasi hukum harap orang hilang tuntas,0,0
anjir,0,0
lengser rezim jokowi cepat negara tdk hancur n amburadul,1,1
nape ente bud lidah sdh tebal jilat spt itunnbelum bantu bank asingnnkeluar mulut buaya masuk mulut singa,1,1
cacat jugak,0,0
jentel aja mundur dr jabat trus dr partaiitu ksatria,1,1
sok kristen emg kristen bgt haha yaudah moga ga denial hidup dg tenang,0,1
ga dokter muka d halo monika kabar aja ganti presiden brp kali nih ketemu,0,0
anak berontak jg ya,1,1
congor lu ngga sesuai isi hati lun silaturahmi alumni tuju umur munafik lu,1,1
iya bener sih tdk ndulu jokowi ninggalin solo kafir solo keren bersih nnketika jokowi ninggalin jkt kafir jakarta keren sungai bersih nnnah yg skrng kerja nda becus tanah abang ruwet parah,0,0
budaya etika politik,0,0
doyan teriak pancasila indonesia komunis cina antek antek,1,1
kaga tau princess udik bener,1,1
buruk perilaku djan faridz kenal ketemu pilpres sutiyoso tau dukung jd ka bin ngawur dlm tolong ganti ava mu kasi almarhum lopa km pake wajah km tuk,1,0
ahelah ngedeketin kubu muslim gimana tuhan aja diitung nomer ngga takut kena serang jantung kayak p,1,1
sdh buta hati buta mata ga liat tenaga kerja aseng ilegal liar negeri dungu lu piara,1,1
ce kacamata identik culun,0,0
kpk butuh laku sdh knp tdk dpr bubar,1,1
setan lo,1,1
alah bullshit tai kotok,1,0
hussss mimin ga takut demo bersilitsilit alumni togel,0,0
bingung toleransi bikin gw mikir alas katolik paus wakil kristus,0,0
anjing gonggong anies jalan,1,1
tolol luh,1,1
tau wkwkwwk gatau pas searching nama main ga asing sih nama gak ga rem horor seru seru,0,0
ya allah bener bgt dunia ssk kejam gaes member ngga fanbase kuat sultan ya harap push manajemen yg,0,0
pilih gubernur sulsel nurdin abdullah maros kota,0,0
eh serius pen muntah beneran tai lo hyung,1,1
ga bosen gaya monoton dr atu sampe gaya jual citra dgn pasang wajah melas rakyat,0,0
kaga neh rezim nnnyerah aja klo ga kerja nnanak tk aja dah pinter maen mobile legend boongin congor,1,1
hapus islam ajar sesat dungu biadab umat,1,1
bentar yaa sipit gt yas trs rambut cepak gundul gt wajah oval udah gt yg ak inget wajah blur ingetanku,0,0
terima kasih gubernur puji,0,0
gua benci orang bloon gua ngasih informasi banget tanggal nanya tik acara jam bgst,0,0
hai dukung hitler kalo komunisnnnn,0,0
coba kalo prabowosampe level ob aja perannyajokowi klaim sajaturunkan,1,1
sedih kalo pas makan siang liat sendok aja pasang garpu taplak gak pasang aja,0,0
kalo nct cina debut bayak ngadain ga kali ya nct,0,0
cewecewe nihkalo udah capecape dandan berjamjam cowo lo bilangnnaku suka kalo,0,0
kuliah rubah smua pikirqu guys beli anting aja ky mahal bet mending bikin inti gw gamau rugi wkwk ya allah,0,0
pamor rk arti parpol usung dukung nista agama,1,1
kreasi kreatif kertas koran bekas lynde sitepu bukugpu,0,0
my ajusshi gelap bin suram durasi gue demen banget drama model gininnlee ji eun,0,0
pp perintah pegang izin usaha tambang iup izin usaha tambang khusus iupk saham milik asing laku divestasi saham persen,0,0
mata kek sipit,0,0
gak mikir ganti presiden deh ganti kelamin normal aja ngebacot,1,0
tai sih fadlizone,1,0
gimana gimanaaaa cerita barel allegedly tas isi bom astaghfirullah,0,0
sok inggris lu anjir ngerepotin nya gabisa diceritain panjaaangg inti lu cuek cuek najis nyata isi zonk pipel desc nya ya lu orang ekspres gak tebak nyebelin tuk,1,1
lihat salah dukung mafia koruptor nista agama gerombol banci titot laku bidik arah,1,1
ikan ngga hidup air ngga hidup,0,0
tiati euy bayu gatra edan pis,0,0
lau kaanal bainanal habib ulama sepakat shalawat terima rangka mulia rasulullah saw sair,0,0
