Tweet,HS,stemmed_tweet
kalo belajar ekonomi mestinya jago memprivatisasi hati orang duh ironi ,0,kalo ajar ekonomi mesti jago privatisasi hati orang duh ironi
aktor huruhara  prabowo s ingin lengserkan pemerintahan jokowi nyata,1,aktor huruhara prabowo s ingin lengser perintah jokowi nyata
bu guru enakan jadi jablay atau guru esde sih kayaknya menikmati jadi pecun ini guru,1,bu guru enak jadi jablay atau guru esde sih kayaknya nikmat jadi pecun ini guru
lawan bicara gw gak intelek kyk loe yg otak gak punya ttg kencing onta gw mengakui hadis nabi dan itu sahih kafir kyk loe pasti menolak makanya loe ahlunnar,1,lawan bicara gw gak intelek kyk loe yg otak gak punya ttg kencing onta gw aku hadis nabi dan itu sahih kafir kyk loe pasti tolak makanya loe ahlunnar
belakangan ini kok fikiran ampas banget ya,0,belakang ini kok fikiran ampas banget ya
ari sarua beki mah repeh ,0,ari sarua bek mah repeh
jadi cowo itu harus gantle kalo ga gantle itu namanya banci ,1,jadi cowo itu harus gantle kalo ga gantle itu nama banci
slga mnr bom ,0,slga mnr bom
asw ya tapi gua jarang ngambek tacut wkkwkwkwkw gua kan bucin,0,asw ya tapi gua jarang ngambek tacut wkkwkwkwkw gua kan bucin
kalo kamu noob pasti peluang disakitin nya lebih gede si,0,kalo kamu noob pasti peluang disakitin nya lebih gede si
joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g,0,joko widodo nilai bagai presiden lemah dalam sejarah indonesia hal ini jadi bukan saja karena jokowi tidak milik modal dukung politik yang cukup lain juga karena ketidakmampuan perintah hadap situasi ekonomi g
pelajar sma kec bilah hilir deklarasi anti hoax amp pilkada  damai,0,ajar sma kec bilah hilir deklarasi anti hoax amp pilkada damai
bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan apbn pemerintah pusat insya allah siap beroperasi bulan depan,0,bandara udara internasional kertajati bangun oleh gubernur ahmad heryawan tanpa guna apbn perintah pusat insya allah siap operasi bulan depan
siapapun gubernur dan presidennya rakyatnya ya kitaâ² juga,0,siapa gubernur dan presiden rakyat ya kita juga
ini si kerjaannya delay mulu setan,1,ini si kerja delay mulu setan
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,0,turut pintu sorga ada yaitu pintu sorga yang asli dan pintu hati modusbanget
pki hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong,1,pki hanya muncul jika jelang pilih kepala daerah dan pilih presiden krn goreng sampai gosong
itu mah sdh neneknenek sy heran sama cebong biasay bohong terus,1,itu mah sdh neneknenek sy heran sama cebong biasay bohong terus
islam nusantara produk jil dipasarkan dg gencar oleh  jilnnsementara jil anti arab tapi pro asengnnkata alm kh hasyim muzadi,1,islam nusantara produk jil pasar dg gencar oleh jilnnsementara jil anti arab tapi pro asengnnkata alm kh hasyim muzadi
dari habis sahur sampe jam  sibayik udah nete  skg rasanya lemas tak terkira ,0,dari habis sahur sampe jam sibayik udah nete skg rasa lemas tak kira
gak kak emak mah gak demen ama yang sipit wkwk,0,gak kak emak mah gak demen ama yang sipit wkwk
kelakuan homok jaman now ngentot aja sambil live di blued gayvid gvid lokalhangat ,0,laku homok jaman now ngentot aja sambil live di blued gayvid gvid lokalhangat
ga kak gua bukan orang jawa maaf yak   gua orang palembang soalnya kakak aja deh yg belajar aksara jawa atau kalak mau belajar budaya palembang,0,ga kak gua bukan orang jawa maaf yak gua orang palembang soal kakak aja deh yg ajar aksara jawa atau kalak mau ajar budaya palembang
pegawai guardian training lagi kek  gue kek gembel cuman kaos sama flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari,1,pegawai guardian training lagi kek gue kek gembel cuman kaos sama flat shoes nanya dijutekin bangsad emang males beli juga kabur gua ke matahari
 bajingan yang telah melukai lady harus menerima ganjaran seratus kali  ,0,bajing yang telah luka lady harus terima ganjar ratus kali
ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri,0,aja tolak berita hoax dan sukses pilkada di wilayah kota keidri
presiden ri jokowi luarbiasa kerja nya tulus ihlas untuk ,0,presiden ri jokowi luarbiasa kerja nya tulus ihlas untuk
edan emang goollnya fabiano,0,edan emang goollnya fabiano
gapernah mendalami alquran ya bang pantesan mulutnya kaya orang kafir bejat hina farhatabbaslaw,1,gapernah dalam alquran ya bang pantesan mulut kaya orang kafir bejat hina farhatabbaslaw
sangat terlihat beda sekali kewibawaannya  yg sangat berwibawa cuma gubernur indonesia  massya allah,0,sangat lihat beda sekali wibawa yg sangat wibawa cuma gubernur indonesia massya allah
anjir baru kali ini lihat orang bego mau debat pilkada kerjanya nyerang karakter shame on you mpok silvy and agus debatfinalpilkadajkt,1,anjir baru kali ini lihat orang bego mau debat pilkada kerja nyerang karakter shame on you mpok silvy and agus debatfinalpilkadajkt
gubernurzamannow        keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kitaâ tutur djarot di hadapan peserta rakercabsuâ,0,gubernurzamannow keanekaragaman budaya suku agama itu sungguh kaya kita tutur djarot di hadap serta rakercabsu
apa iya islam itu ga boleh dilokalisasi lha kristen aja mas ada nusantaranya mas liat aja di gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs sundajawa ada hkbp juga kurang nusantara apa,0,apa iya islam itu ga boleh lokalisasi lha kristen aja mas ada nusantara mas liat aja di gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs sundajawa ada hkbp juga kurang nusantara apa
ciptakan situasi kamtibmas menjelang pilkada  kapolsek konang silaturahmi ke tokoh masyarakat,0,cipta situasi kamtibmas jelang pilkada kapolsek konang silaturahmi ke tokoh masyarakat
positif koknsepositif respon masyarakat terhadapn cangkul imporn garam imporn beras imporn jagung imporn tenaga kerja imporn esemka impornnurl,0,positif koknsepositif respon masyarakat terhadapn cangkul imporn garam imporn beras imporn jagung imporn tenaga kerja imporn esemka impornnurl
kata sembahyang mengadopsi tradisi lokal pada masa kerjaan  lahir dari tradisi  yang tunggal sama  menyembah all,0,kata sembahyang adopsi tradisi lokal pada masa kerja lahir dari tradisi yang tunggal sama sembah all
kau pendikan tinggi tapi bodohgk ada larang bawa agamabiar orang islam yg di bayar ahok sadar gk jadi milih ahok gla,1,kau dik tinggi tapi bodohgk ada larang bawa agamabiar orang islam yg di bayar ahok sadar gk jadi milih ahok gla
btp the best abaikan kaum kampret otak micin ,1,btp the best abai kaum kampret otak micin
 si otak tempurung mah ga usah d ladenin smkn d lawan semakin bloon dan dungu dan kalo ga gitu dia ga makan hehe,1,si otak tempurung mah ga usah d ladenin smkn d lawan makin bloon dan dungu dan kalo ga gitu dia ga makan hehe
awaasss jgn sampe beritanya sampe ke akhi gerung ntar susah nyari kosakatany klu bcr aja micingin mata bibir monyong kesamping suara keluar ky lg nhn kentut politik kotor skl jmn ini klu tahu bini plng sambil ky nhn ngedendungu ,1,awaasss jgn sampe berita sampe ke akh gerung ntar susah nyari kosakatany klu bcr aja micingin mata bibir monyong samping suara keluar ky lg nhn kentut politik kotor skl jmn ini klu tahu bini plng sambil ky nhn ngedendungu
pinokio umur  taonan tuh ,1,pinokio umur taonan tuh
cerita silat lae  semacam kho ping hoo yang dari indonesia tapi liang ie shen penulis dari china,0,cerita silat lae macam kho ping hoo yang dari indonesia tapi liang ie shen tulis dari china
benci sekali dgn umat islam,1,benci sekali dgn umat islam
provokasi mayat politisasi agama penyebab kekalahan pilkada dki beginilah cara cebong mendeskripsikan kekalahan junjungannya fyi ahog blm pernah ikut pemilihan apapun kec jd wakil dan dia bukanlah etnis mayorita,1,provokasi mayat politisasi agama sebab kalah pilkada dki begini cara cebong deskripsi kalah junjung fyi ahog blm pernah ikut pilih apa kec jd wakil dan dia bukan etnis mayorita
dari pada gua nete,0,dari pada gua nete
lol bani lowo,1,lol bani lowo
takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan iblis mahluq yg alim amp telah beribadah  th dilaknat krn hasud takabburnya apalagi hanya seorang ahli ilmu filsafat yg tdk failosof  mari kita demo diri sendi,0,takabur bisa lahir dari siapa saja kuasa rakyat ulama maupun cendikia bahkan iblis mahluq yg alim amp telah ibadah th laknat krn hasud takabburnya apalagi hanya orang ahli ilmu filsafat yg tdk failosof mari kita demo diri sendi
a orang yang suka ke konserkonser sedikit boros,0,a orang yang suka ke konserkonser sedikit boros
 sampai kapan makan racun   _ banyak ulama yang mengatakan hukum rokok mubah dan ada jugaâ,0,sampai kapan makan racun banyak ulama yang kata hukum rokok mubah dan ada juga
susilo bambang yudhoyono presiden ri ke  meminta khofifah emil untuk dekat dengan masyarakat  no  bisa  baguss ,0,susilo bambang yudhoyono presiden ri ke minta khofifah emil untuk dekat dengan masyarakat no bisa baguss
udah biasa kali gue kpoper tapi kalo ngomonv sama  gue idol gua banci homo,1,udah biasa kali gue kpoper tapi kalo ngomonv sama gue idol gua banci homo
saya suka video  awal kisah perseteruan haji bolot amp malih tongtong,0,saya suka video awal kisah seteru haji bolot amp malih tongtong
budaya kafir bersungguh klau  islam tidak diendahkan,0,budaya kafir sungguh klau islam tidak diendahkan
 la la lahm hmm  semua diam semua bisunkita coba tanya sama rumput yg bergoyang ,0,la la lahm hmm semua diam semua bisunkita coba tanya sama rumput yg goyang
apabila setan membisikkan waswas kepadamu mintalah perlindungan kepada allah qs   dan fushilat ,0,apabila setan bisik waswas kepada minta lindung kepada allah qs dan fushilat
klw ente atheisngapain sibuk dgn agama orang,0,klw ente atheisngapain sibuk dgn agama orang
lengserkan jokowi bangsat,1,lengser jokowi bangsat
selamat hari kartini    ,0,selamat hari kartini
bajingan  terhadap  kita terutama di kamar mandi  jgn biarkan sendiri ,1,bajing hadap kita utama di kamar mandi jgn biar sendiri
iya cocot,1,iya cocot
karena budaya indonesia,0,karena budaya indonesia
yang ngajarin solata ajah itu orang aseng dia hanya ingin memecah belah islam,0,yang ngajarin solata ajah itu orang aseng dia hanya ingin pecah belah islam
x  lo ngomong aja kaga bener bangke,1,x lo ngomong aja kaga bener bangke
kita semua tidak pernah akan mempercayai yg negara kita disuatu hari nanti akan dijajah oleh kerana terdapat   beraja dinegara kita kini untuk menjadikan sebagai negara republik komunis padahal  penjaja,0,kita semua tidak pernah akan percaya yg negara kita suatu hari nanti akan jajah oleh rana dapat beraja negara kita kini untuk jadi bagai negara republik komunis padahal jaja
tapi masih menikmati kebijakan yang dulu diusulkan pki lha yo opo,1,tapi masih nikmat bijak yang dulu usul pki lha yo opo
kalo seumpama orang cina di usir paksa dari indonesia gimana,1,kalo umpama orang cina di usir paksa dari indonesia gimana
bunda ngentot yuk,0,bunda ngentot yuk
china babi china malingnusirchina ,1,china babi china malingnusirchina
bung karno anti asing dan beliau dari jawa coba deh adain konsensus lebih banyak mana jawa yang anti asing atau pro asing karena keboohannya nnkalau kami keliru kami tutup akun,0,bung karno anti asing dan beliau dari jawa coba deh adain konsensus lebih banyak mana jawa yang anti asing atau pro asing karena keboohannya nnkalau kami keliru kami tutup akun
proyek korupsi rezim sby ,1,proyek korupsi rezim sby
wajar saja lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara,0,wajar saja lihat saja tingkah bbrp petinggi negeri ini yg suka campur bhs indonesia dgn bhs asing tiap kali bicara
pribadi yg senang berkompetisi dalam hal yang baik dan positif,0,pribadi yg senang kompetisi dalam hal yang baik dan positif
terus menurut lo kitab suci agama apa yg di bilang om   mendadakkalap,1,terus turut lo kitab suci agama apa yg di bilang om mendadakkalap
suka nutup mata kaga ditutup pun udah terlihat tertutup  sipit ,0,suka nutup mata kaga tutup pun udah lihat tutup sipit
sy sbg muslim tdk merasa pak menistakan kitab suci alquran krn dlm alquran sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam tp kami yakini kata tsb ada makna yg tersirat fiksi yg blm,0,sy sbg muslim tdk rasa pak nista kitab suci alquran krn dlm alquran sndri ada bbrp suku kata yg smpai dtik ini blm tahu mkna faktual olh umat islam tp kami yakin kata tsb ada makna yg sirat fiksi yg blm
eh kasar kau kampang,1,eh kasar kau kampang
bentar lagi gua rilis album the ontas wkwkwkwkwk,0,bentar lagi gua rilis album the ontas wkwkwkwkwk
ada cebong bang dia merasa paling benar,1,ada cebong bang dia rasa paling benar
najis banget gw ngetwit apa barusan wey,0,najis banget gw ngetwit apa barusan wey
kamu transgender atau gmn anjing  ,1,kamu transgender atau gmn anjing
awas bintitan lu ngintipin titit kucing,0,awas bintit lu ngintipin titit kucing
bawel baper bolot baik bodor  gaje wkwk apa ya udah itu aja deh,0,bawel baper bolot baik bodor gaje wkwk apa ya udah itu aja deh
gue saranin gk perlu bnyk bacot maling ayat langsung to the point aja lu jadi orang yg tdk sepaham lu teriakin aja kafir sesat liberal pemuja dukun bla blaaa pasti hatimu puas dehh ,1,gue saranin gk perlu bnyk bacot maling ayat langsung to the point aja lu jadi orang yg tdk paham lu teriakin aja kafir sesat liberal puja dukun bla blaaa pasti hati puas dehh
jgn salah target bkn ahok agenda utama lengserkan jokowi ,1,jgn salah target bkn ahok agenda utama lengser jokowi
masa baru kena hestek aja udah kepanasan  kepo banget   ,1,masa baru kena hestek aja udah panas kepo banget
maju lu sini duit tapi kau goyang kaki tak buat pape  mana la duit nak maju kat kau bodo ,0,maju lu sini duit tapi kau goyang kaki tak buat pape mana la duit nak maju kat kau bodo
hkbp berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belandadl tdk ada yg namanya kristen protestan yg ada cm kristen khatoliknterjadilah perpecahan dan berdirilah hkbp yg prtama kali di tarutungnnnah skrg anda sy k,0,hkbp diri itu sejak pecah kristen khatolik pada zaman jajah belandadl tdk ada yg nama kristen protestan yg ada cm kristen khatoliknterjadilah pecah dan diri hkbp yg prtama kali di tarutungnnnah skrg anda sy k
ha  ha  banyak baca biar pintar  jepang amerika china utang sama siapa  anda tau enggak ,0,ha ha banyak baca biar pintar jepang amerika china utang sama siapa anda tau enggak
prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu,1,prabowo sudah kalah sebut bantu jokowi hanya citra adalah ratap pilu
dan yang takut dengan adzan adalah iblis,0,dan yang takut dengan adzan adalah iblis
yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal,1,yg goblog itu adalah bani cebong tukang tipu jilat kuasa yg tahu gerakin masa yg bayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal
wuih cebong ,1,wuih cebong
 gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,0,gera ini tekan penting kerja keras cara total untuk tingkat potensi bangsa
padahal gubernur saat ini djarot mayoritas partai politik di dprd juga pendukung ahok djarot payah ya mereka ,1,padahal gubernur saat ini djarot mayoritas partai politik di dprd juga dukung ahok djarot payah ya mereka
rezim rusak bukan memperbaiki systeamnya malah sibuk  kesalahan klu itu pasti ketemu aja kpk alatnya besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi orangnya,0,rezim rusak bukan baik systeamnya malah sibuk salah klu itu pasti ketemu aja kpk alat besok perintah ganti ulang kembali engah pernah selesai siapa organisasi orang
saat orang orang saling menuding antek aseng aseng sesungguhnya bertepuk tangan,0,saat orang orang saling tuding antek aseng aseng sungguh tepuk tangan
nah loh katanya anti aseng,0,nah loh kata anti aseng
selamat pak semoga bisa terus berkiprah bahkan tingkat nasional,0,selamat pak moga bisa terus kiprah bahkan tingkat nasional
 saya sih ikut ulama saja,0,saya sih ikut ulama saja
yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan termasuk pt who tambang bouksid yg viral saat pilpres dulu ndan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora,0,yang saya tahu bahwa ketapang banyak tka asing yg kerja di bagai usaha masuk pt who tambang bouksid yg viral saat pilpres dulu ndan bisa jadi ini karena kerja sama tsb jadi di era gubernur cornelis dan wakil ora
anak pecun ga  dr hobi zina haha,1,anak pecun ga dr hobi zina haha
que bom sbbsnsn,0,que bom sbbsnsn
istirahat aja pak presiden momentum sudah berlalu saya pernah jadi saksi telinga dan mata awal rapat pembentukan pd di pacitan tahun ,0,istirahat aja pak presiden momentum sudah lalu saya pernah jadi saksi telinga dan mata awal rapat bentuk pd di pacitan tahun
pada  house select committee on assassinations hsca menemukan cacat investigasi yang dilakukan fbi dan warren commission hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya,0,pada house select committee on assassinations hsca temu cacat investigasi yang laku fbi dan warren commission hsca juga simpul ada empat tembak yang laku dan mungkin dapat konspirasi di dalam
tak terasa genap  tahun mendatang  april  akan digelar hajatan pilpres acara tahunan negara indonesia untuk memilih presiden semoga senantiasa berjalan aman dan lancar amin,0,tak asa genap tahun datang april akan gelar hajat pilpres acara tahun negara indonesia untuk pilih presiden moga senantiasa jalan aman dan lancar amin
ian pantat,0,ian pantat
ngakunya org pintar dan beragama emangnya agama mana yg memperbolehkan menista dan menghujat org lain jgnkan orang bodoh org yg  maaf sejak lahir idiot sekalipun dia kita hrs hargain sebagai sesama ciptaan tuhan ingat  iblis itu juga pintar dan sangat licik,0,ngakunya org pintar dan agama emang agama mana yg boleh nista dan hujat org lain jgnkan orang bodoh org yg maaf sejak lahir idiot sekalipun dia kita hrs hargain bagai sama cipta tuhan ingat iblis itu juga pintar dan sangat licik
pendaftaran capres untuk  saja belum dibuka sampai agustus  normatif begini politikus pdip masih belum paham  ,1,daftar capres untuk saja belum buka sampai agustus normatif begini politikus pdip masih belum paham
si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang dpr paya cebong ,1,si tolol udah tau perintah rezim komunis ini bobrok koruptor bisa pimpin sidang dpr paya cebong
dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh dan w ngerasa jadi anak yg brengsek aja gt ke  ,0,dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe pikir dan gabisa tidur lohh dan w ngerasa jadi anak yg brengsek aja gt ke
cina perusak bangsa usir  stuju,1,cina usak bangsa usir stuju
 scra konstitusional hak setiap rakyat woiii  gini nih kalo planga plongo tapi kelakuan otoriter,1,scra konstitusional hak tiap rakyat woiii gin nih kalo planga plongo tapi laku otoriter
mari kita wujudkan pilkada kota bengkulu  aman dan damai    ,0,mari kita wujud pilkada kota bengkulu aman dan damai
mau tanya serius ini sm presiden jokowi knp yg ada cm islam nusantaraknp tdk ada kristen nusantarabudhahindu bahkan kong huchu nusantara,0,mau tanya serius ini sm presiden jokowi knp yg ada cm islam nusantaraknp tdk ada kristen nusantarabudhahindu bahkan kong huchu nusantara
korsa pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam,0,korsa nyata moeldoko bukti istana takut dengan bangkit umat islam
cowo yang jago drasex mana sini ngentot sama adek  luvian,0,cowo yang jago drasex mana sini ngentot sama adek luvian
kroasia itu kapir tauuungapain blajar sm kapirudh lupa sm kapling sorga,1,kroasia itu kapir tauuungapain blajar sm kapirudh lupa sm kapling sorga
loh bukan nya mentri suharto ada yg homo,1,loh bukan nya tri suharto ada yg homo
gue tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan berubah  entah itu baik  buruk ,0,gue tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan ubah entah itu baik buruk
pada perang salib dulu itu kerajaan di afrika terbagi dua yakni babilonia pemeluk kristen dan tobaco pemeluk islam,0,pada perang salib dulu itu raja di afrika bagi dua yakni babilonia peluk kristen dan tobaco peluk islam
kejar setorang memang cukup bangsad mana rupiah turun ,1,kejar setorang memang cukup bangsad mana rupiah turun
moga ini ada tindak lanjutnya  pelaporan terhadap penista agama ade armando akan dilakukan langsung oleh ketua umum fpi kh shobri lubis ke bareskrim mabes polri gambir jakarta pusat pada selasa  pukul  wib perhaps ,1,moga ini ada tindak lanjut lapor hadap nista agama ade armando akan laku langsung oleh ketua umum fpi kh shobri lubis ke bareskrim mabes polri gambir jakarta pusat pada selasa pukul wib perhaps
bangke hajar,1,bangke hajar
nonta mati klo kebanyakan minum,1,nonta mati klo banyak minum
 ahok tng mrka trus waswas hdpnya ,1,ahok tng mrka trus waswas hdpnya
itu baru di sul teng  ini ekses akibat tersandera hutang china     ,1,itu baru di sul teng ini ekses akibat sandera hutang china
 pride yunani  keangkuhanharga dirikesombonganndikenal juga dengan sebutan hubrisvanity harga diri yang tinggi dapat merubah manusia sombong kesombongan membuat manusia terkutuk dimata tuhandan dapat membuat manusia mencintai dirinya sendiri,0,pride yunani keangkuhanharga dirikesombonganndikenal juga dengan sebut hubrisvanity harga diri yang tinggi dapat rubah manusia sombong sombong buat manusia kutuk mata tuhandan dapat buat manusia cinta diri sendiri
aku bertanya tujuan pada hatinlogikaku yg menjawab ntapi hati tak tenangnaku bertanya pada logika nhatiku sedih nku cari jawaban dalam wasiat yg beliau tinggalkan ndan aku mulai menjadi terasing dan asing di mata manusia ntak apa duhai diri ada,0,aku tanya tuju pada hatinlogikaku yg jawab ntapi hati tak tenangnaku tanya pada logika nhatiku sedih nku cari jawab dalam wasiat yg beliau tinggal ndan aku mulai jadi asing dan asing di mata manusia ntak apa duhai diri ada
tak hanya kurang bertaji nya kpk era initapi era ini juga komitmen dlm pemberantasan korupsi tdk spt di era pak sby,1,tak hanya kurang taji nya kpk era initapi era ini juga komitmen dlm berantas korupsi tdk spt di era pak sby
admin tolol di partai tololnpartai tolol untuk orang tolol,1,admin tolol di partai tololnpartai tolol untuk orang tolol
ayu ting ting goyang hot dekat raffi ahmad nagita slavina kampungan norak ,0,ayu ting ting goyang hot dekat raffi ahmad nagita slavina kampung norak
video ttg tka dibuat oleh malaysia tapi mengutip pernyataan saya di ,0,video ttg tka buat oleh malaysia tapi kutip nyata saya di
ppp jangan buruburu tolak wacana pilkada lewatâ dprd,0,ppp jangan buruburu tolak wacana pilkada lewat dprd
random  ada  nyamperin ke meja kerja trus nanya pake bedak apa sih biar mukanya bersih istri saya butek soalnyaningin ku jawab pake air wudhu tapi ku kristen,0,random ada nyamperin ke meja kerja trus nanya pake bedak apa sih biar muka bersih istri saya butek soalnyaningin ku jawab pake air wudhu tapi ku kristen
ko gua kampret,0,ko gua kampret
memek lonte pengen disodok kontol gede,0,memek lonte ken sodok kontol gede
jokowi aja yg mundur tutup ,1,jokowi aja yg mundur tutup
ngomong opo itumulut kok seperti bancibeli kaca dulu lihat dirimu broo,1,ngomong opo itumulut kok seperti bancibeli kaca dulu lihat diri broo
ada amin rasisnada amat daninada ratna si paiiitnada si ontanada si lobang anusnjdi jngan takut wo wonkehabisan obat penenang yh,1,ada amin rasisnada amat daninada ratna si paiiitnada si ontanada si lobang anusnjdi jngan takut wo wonkehabisan obat tenang yh
tunggu komando imam bejat cabul  taik beer  bawa ulamandasar banj sempak,1,tunggu komando imam bejat cabul taik beer bawa ulamandasar banj sempak
kabinet berantakan npemecah belah persatuan hanya ad di rezim ini,1,kabinet beranta npemecah belah satu hanya ad di rezim ini
dih ngaku lebih pinter dr orang politik ngaca dulu woyy tampang loe aja  orang bego ckakakakak,1,dih ngaku lebih pinter dr orang politik ngaca dulu woyy tampang loe aja orang bego ckakakakak
pdiperjuanganmenang dengan menekan perusahaan tambang dgn target proyek yang impossible lalu dilelang murah pada antek cina ntb contoh kasus pdip mau menang dasar bajingan,1,pdiperjuanganmenang dengan tekan usaha tambang dgn target proyek yang impossible lalu lelang murah pada antek cina ntb contoh kasus pdip mau menang dasar bajing
ga caya sama mulut buaya mu bwang,1,ga caya sama mulut buaya mu bwang
 jika sby  prabowo menyatu melawan mega  jokowi  maka peristiwa  akan terulang dimana pdip yg incumbent dikalahkan mutlak oleh sby   tp jk jkwmegasby melawan prabowo mk pilpres selesai sudah   jk  poros di pilpres mk salah satu lawan,0,jika sby prabowo satu lawan mega jokowi maka peristiwa akan ulang mana pdip yg incumbent kalah mutlak oleh sby tp jk jkwmegasby lawan prabowo mk pilpres selesai sudah jk poros di pilpres mk salah satu lawan
jangan kayak banci kaleng kamu gatot sering buat gaduh gentleman lah mundur siap bersaing di pemilihan presidens  melawan jokowi,1,jangan kayak banci kaleng kamu gatot sering buat gaduh gentleman lah mundur siap saing di pilih presidens lawan jokowi
bebal,0,bebal
 yang terakhir karena indonesia negara dengan populasi muslim terbesar di dunia yang mana islam saat ini merupakan musuh barat amp komunis karena dapat menghambat agenda dan kepentingan merekaobviously,0,yang akhir karena indonesia negara dengan populasi muslim besar di dunia yang mana islam saat ini rupa musuh barat amp komunis karena dapat hambat agenda dan penting merekaobviously
umuh gt persibnpersib ,1,umuh gt persibnpersib
buat film muslim pilih ahok mati nggak di sholatin dijamin laris ,1,buat film muslim pilih ahok mati nggak di sholatin jamin laris
tapi banu banu yahudi itu tentu beda dgn banu banu kristen syriac salah satu perbedaan ad banu yahudi tetep pake eloah elohim yahwe sedangkan syriac sudah pake alah allah,0,tapi banu banu yahudi itu tentu beda dgn banu banu kristen syriac salah satu beda ad banu yahudi tetep pake eloah elohim yahwe sedang syriac sudah pake alah allah
eh kenapa muka  tu tak dpt cendol ke bukan la setan cuaca skrg ni panas,0,eh kenapa muka tu tak dpt cendol ke bukan la setan cuaca skrg ni panas
